activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,75508,[],CHEMBL654653,Binding affinity against C-C chemokine receptor type 5 stably expressed in Chinese hamster ovary (CHO) cells using [125I]-MIP-1 alpha as the radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2nnnc2-c2ccccc2)c2ccccc2)CC1,,,CHEMBL1133867,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '10.87', 'le': '0.20', 'lle': '0.76', 'sei': '5.42'}",CHEMBL105460,,CHEMBL105460,6.47,0,http://www.openphacts.org/units/Nanomolar,197089,=,1,1,=,,IC50,nM,,335.0,CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,9606,,,IC50,nM,UO_0000065,,335.0
,75509,[],CHEMBL654653,Binding affinity against C-C chemokine receptor type 5 stably expressed in Chinese hamster ovary (CHO) cells using [125I]-MIP-1 alpha as the radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cncn2)c2ccccc2)CC1,,,CHEMBL1133867,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '14.56', 'le': '0.27', 'lle': '2.90', 'sei': '7.08'}",CHEMBL105606,,CHEMBL105606,7.55,0,http://www.openphacts.org/units/Nanomolar,197086,=,1,1,=,,IC50,nM,,28.0,CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,9606,,,IC50,nM,UO_0000065,,28.0
,75510,[],CHEMBL654653,Binding affinity against C-C chemokine receptor type 5 stably expressed in Chinese hamster ovary (CHO) cells using [125I]-MIP-1 alpha as the radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1,,,CHEMBL1133867,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '13.75', 'le': '0.25', 'lle': '1.42', 'sei': '8.53'}",CHEMBL105570,,CHEMBL105570,8.00,0,http://www.openphacts.org/units/Nanomolar,197080,=,1,1,=,,IC50,nM,,10.0,CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,9606,,,IC50,nM,UO_0000065,,10.0
,76739,[],CHEMBL873385,Binding affinity against human CCR5 receptor stably expressed in Chinese hamster ovary (CHO) cells using [125I]-MIP-1 alpha as the radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1,,,CHEMBL1133867,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '13.38', 'le': '0.28', 'lle': '2.17', 'sei': '12.92'}",CHEMBL83338,,CHEMBL83338,7.46,0,http://www.openphacts.org/units/Nanomolar,197093,=,1,1,=,,IC50,nM,,35.0,CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,9606,,,IC50,nM,UO_0000065,,35.0
,77749,[],CHEMBL654653,Binding affinity against C-C chemokine receptor type 5 stably expressed in Chinese hamster ovary (CHO) cells using [125I]-MIP-1 alpha as the radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2ncc3ccccc32)c2ccccc2)CC1,,,CHEMBL1133867,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '13.78', 'le': '0.25', 'lle': '1.41', 'sei': '8.35'}",CHEMBL325357,,CHEMBL325357,7.82,0,http://www.openphacts.org/units/Nanomolar,197072,=,1,1,=,,IC50,nM,,15.0,CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,9606,,,IC50,nM,UO_0000065,,15.0
,78867,[],CHEMBL654653,Binding affinity against C-C chemokine receptor type 5 stably expressed in Chinese hamster ovary (CHO) cells using [125I]-MIP-1 alpha as the radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(Cl)c2Cl)c2ccccc2)CC1,,,CHEMBL1133867,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '13.29', 'le': '0.27', 'lle': '1.24', 'sei': '8.32'}",CHEMBL105572,,CHEMBL105572,7.80,0,http://www.openphacts.org/units/Nanomolar,197073,=,1,1,=,,IC50,nM,,16.0,CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,9606,,,IC50,nM,UO_0000065,,16.0
,82311,[],CHEMBL654653,Binding affinity against C-C chemokine receptor type 5 stably expressed in Chinese hamster ovary (CHO) cells using [125I]-MIP-1 alpha as the radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(CC#N)c2)c2ccccc2)CC1,,,CHEMBL1133867,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '14.05', 'le': '0.26', 'lle': '2.50', 'sei': '6.66'}",CHEMBL107750,,CHEMBL107750,7.82,0,http://www.openphacts.org/units/Nanomolar,197091,=,1,1,=,,IC50,nM,,15.0,CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,9606,,,IC50,nM,UO_0000065,,15.0
,82312,[],CHEMBL654653,Binding affinity against C-C chemokine receptor type 5 stably expressed in Chinese hamster ovary (CHO) cells using [125I]-MIP-1 alpha as the radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1,,,CHEMBL1133867,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '12.95', 'le': '0.24', 'lle': '0.28', 'sei': '13.74'}",CHEMBL105659,,CHEMBL105659,6.95,0,http://www.openphacts.org/units/Nanomolar,197081,=,1,1,=,,IC50,nM,,112.0,CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,9606,,,IC50,nM,UO_0000065,,112.0
,84347,[],CHEMBL654653,Binding affinity against C-C chemokine receptor type 5 stably expressed in Chinese hamster ovary (CHO) cells using [125I]-MIP-1 alpha as the radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(c2ccccc2)C2c3ccccc3C(=O)N2CC)CC1,,,CHEMBL1133867,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '13.10', 'le': '0.24', 'lle': '1.25', 'sei': '8.31'}",CHEMBL107380,,CHEMBL107380,8.00,0,http://www.openphacts.org/units/Nanomolar,197077,=,1,1,=,,IC50,nM,,10.0,CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,9606,,,IC50,nM,UO_0000065,,10.0
,85388,[],CHEMBL654653,Binding affinity against C-C chemokine receptor type 5 stably expressed in Chinese hamster ovary (CHO) cells using [125I]-MIP-1 alpha as the radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1,,,CHEMBL1133867,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '12.87', 'le': '0.24', 'lle': '2.06', 'sei': '8.32'}",CHEMBL104793,,CHEMBL104793,8.15,1,http://www.openphacts.org/units/Nanomolar,197075,=,1,1,=,,IC50,nM,,7.0,CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,9606,,,IC50,nM,UO_0000065,,7.0
