activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,184069,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,,CHEMBL156630,,CHEMBL156630,,0,http://www.openphacts.org/units/Nanomolar,308504,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,1000.0
,185443,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,,CHEMBL155754,,CHEMBL155754,,0,http://www.openphacts.org/units/Nanomolar,308506,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,1000.0
,185700,[],CHEMBL734179,Inhibitory concentration against Monoamine oxidase B was measured in baboon liver.,B,,,BAO_0000190,BAO_0000221,tissue-based format,N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1,,,CHEMBL1136363,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '23.09', 'le': '0.42', 'lle': '5.04', 'sei': '10.34'}",CHEMBL350093,,CHEMBL350093,7.75,0,http://www.openphacts.org/units/Nanomolar,319607,=,1,1,=,,IC50,nM,,18.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,nM,UO_0000065,,18.0
,187020,[],CHEMBL734178,Inhibitory concentration against Monoamine oxidase B was measured,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O,,,CHEMBL1136363,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '28.11', 'le': '0.55', 'lle': '6.53', 'sei': '13.31'}",CHEMBL161907,,CHEMBL161907,8.05,0,http://www.openphacts.org/units/Nanomolar,319604,=,1,1,=,,IC50,nM,,9.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,nM,UO_0000065,,9.0
,188355,[],CHEMBL734179,Inhibitory concentration against Monoamine oxidase B was measured in baboon liver.,B,,,BAO_0000190,BAO_0000221,tissue-based format,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S,,,CHEMBL1136363,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '24.77', 'le': '0.48', 'lle': '3.99', 'sei': '13.06'}",CHEMBL17079,,CHEMBL17079,8.36,0,http://www.openphacts.org/units/Nanomolar,319609,=,1,1,=,,IC50,nM,,4.4,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,nM,UO_0000065,,4.4
,189323,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)/N=C1/CCc2c1n(C)c1ccccc21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,,CHEMBL348083,,CHEMBL348083,,0,http://www.openphacts.org/units/Nanomolar,308492,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,1000.0
,190495,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,,CHEMBL157182,,CHEMBL157182,,0,http://www.openphacts.org/units/Nanomolar,308505,=,1,1,=,,IC50,nM,,395000.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,395.0
,191748,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,,,CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,"{'bei': '14.93', 'le': '0.35', 'lle': '0.96', 'sei': '13.46'}",CHEMBL160347,BROFAROMINE,CHEMBL160347,4.63,0,http://www.openphacts.org/units/Nanomolar,308496,=,1,1,=,,IC50,nM,,23400.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,23.4
,192852,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,CC/N=C1/CCc2c1n(C)c1ccccc21,,,CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,"{'bei': '19.36', 'le': '0.35', 'lle': '1.18', 'sei': '23.77'}",CHEMBL347197,,CHEMBL347197,4.11,0,http://www.openphacts.org/units/Nanomolar,308495,=,1,1,=,,IC50,nM,,77600.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,77.6
,192854,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,,CHEMBL160219,,CHEMBL160219,,0,http://www.openphacts.org/units/Nanomolar,308508,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,1000.0
,192857,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,,CHEMBL445916,,CHEMBL445916,,0,http://www.openphacts.org/units/Nanomolar,308499,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,1000.0
,194037,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1c2c(c3ccccc31)CC/C2=N/Cc1ccncc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,,CHEMBL158041,,CHEMBL158041,,0,http://www.openphacts.org/units/Nanomolar,308493,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,1000.0
,194277,[],CHEMBL734179,Inhibitory concentration against Monoamine oxidase B was measured in baboon liver.,B,,,BAO_0000190,BAO_0000221,tissue-based format,N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1,,,CHEMBL1136363,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '28.49', 'le': '0.52', 'lle': '5.87', 'sei': '11.35'}",CHEMBL434261,,CHEMBL434261,8.70,0,http://www.openphacts.org/units/Nanomolar,319599,=,1,1,=,,IC50,nM,,2.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,nM,UO_0000065,,2.0
,195164,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,,CHEMBL348607,,CHEMBL348607,,0,http://www.openphacts.org/units/Nanomolar,308503,=,1,1,=,,IC50,nM,,175000.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,175.0
,198576,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,CCC/N=C1/CCc2c1n(C)c1ccccc21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,,CHEMBL156919,,CHEMBL156919,,0,http://www.openphacts.org/units/Nanomolar,308494,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,1000.0
,199859,[],CHEMBL706869,Compound was tested for inhibition of monoamine oxidase-B (MAO-B).,B,,,BAO_0000190,BAO_0000357,single protein format,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1151505,Bioorg. Med. Chem. Lett.,1996.0,,CHEMBL156931,,CHEMBL156931,,0,http://www.openphacts.org/units/Nanomolar,308510,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,uM,UO_0000065,,1000.0
,201433,[],CHEMBL734179,Inhibitory concentration against Monoamine oxidase B was measured in baboon liver.,B,,,BAO_0000190,BAO_0000221,tissue-based format,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O,,,CHEMBL1136363,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '26.94', 'le': '0.49', 'lle': '5.66', 'sei': '10.68'}",CHEMBL17092,,CHEMBL17092,8.66,0,http://www.openphacts.org/units/Nanomolar,319598,=,1,1,=,,IC50,nM,,2.2,CHEMBL2039,Homo sapiens,Monoamine oxidase B,9606,,,IC50,nM,UO_0000065,,2.2
