molecule_chembl_id,standard_value,canonical_smiles
CHEMBL156630,1000000.0,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21
CHEMBL155754,1000000.0,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21
CHEMBL350093,18.0,N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1
CHEMBL161907,9.0,O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O
CHEMBL17079,4.4,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S
CHEMBL348083,1000000.0,CC(C)/N=C1/CCc2c1n(C)c1ccccc21
CHEMBL157182,395000.0,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21
CHEMBL160347,23400.0,COc1cc(Br)c2oc(C3CCNCC3)cc2c1
CHEMBL347197,77600.0,CC/N=C1/CCc2c1n(C)c1ccccc21
CHEMBL160219,1000000.0,CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1
CHEMBL445916,1000000.0,CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC
CHEMBL158041,1000000.0,Cn1c2c(c3ccccc31)CC/C2=N/Cc1ccncc1
CHEMBL434261,2.0,N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1
CHEMBL348607,175000.0,CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1
CHEMBL156919,1000000.0,CCC/N=C1/CCc2c1n(C)c1ccccc21
CHEMBL156931,1000000.0,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21
CHEMBL17092,2.2,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O
CHEMBL160836,1000000.0,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21
CHEMBL16530,8.0,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=O
CHEMBL348961,0.014,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O
CHEMBL156861,1000000.0,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21
CHEMBL346766,317000.0,C/N=C1/CCc2c1n(C)c1ccccc21
CHEMBL16623,16.0,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=S
CHEMBL155350,1000000.0,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21
CHEMBL155863,1000000.0,CCC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21
CHEMBL414637,0.318,O=C1CCc2cc(OCCCC(F)(F)F)ccc21
CHEMBL341071,130.0,Cc1cc2c(nn1)-c1ccccc1C2=O
CHEMBL127983,90.0,O=C1c2ccccc2-c2nnc(-c3ccc(C(F)(F)F)cc3)cc21
CHEMBL158946,51000.0,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21
CHEMBL350464,1000000.0,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21
CHEMBL161896,20.0,COCC(COc1ccc(OCc2cccc(C(F)(F)F)c2)cc1C(C)=O)C(=O)OC
CHEMBL304241,19000.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(C)c1
CHEMBL62743,42000.0,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1
CHEMBL65252,20000.0,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)c(OC)c1
CHEMBL293004,100000.0,COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O
CHEMBL63223,89000.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl
CHEMBL66639,40000.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1
