,molecule_chembl_id,canonical_smiles,pIC50
0,CHEMBL156630,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,3.0
1,CHEMBL155754,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,3.0
2,CHEMBL350093,N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1,7.7447274948966935
3,CHEMBL161907,O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O,8.045757490560675
4,CHEMBL17079,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S,8.356547323513812
5,CHEMBL348083,CC(C)/N=C1/CCc2c1n(C)c1ccccc21,3.0
6,CHEMBL157182,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,3.40340290437354
7,CHEMBL160347,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,4.6307841425898575
8,CHEMBL347197,CC/N=C1/CCc2c1n(C)c1ccccc21,4.110138278741812
9,CHEMBL160219,CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,3.0
10,CHEMBL445916,CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC,3.0
11,CHEMBL158041,Cn1c2c(c3ccccc31)CC/C2=N/Cc1ccncc1,3.0
12,CHEMBL434261,N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1,8.698970004336019
13,CHEMBL348607,CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,3.7569619513137056
14,CHEMBL156919,CCC/N=C1/CCc2c1n(C)c1ccccc21,3.0
15,CHEMBL156931,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,3.0
16,CHEMBL17092,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O,8.657577319177793
17,CHEMBL160836,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,3.0
18,CHEMBL16530,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=O,8.096910013008056
19,CHEMBL348961,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O,10.853871964321762
20,CHEMBL156861,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,3.0
21,CHEMBL346766,C/N=C1/CCc2c1n(C)c1ccccc21,3.4989407377822483
